chunk_token_length,overlap_percentage,retriever,embedder,mmr_fetch_k,mmr_lambda_mult,gen_model,1 - accuracy,number of documents,1 - rouge1_gold,rouge1_gold,1 - rouge2_gold,rouge2_gold,1 - rougeL_gold,rougeL_gold,1 - bert_f1_gold,bert_f1_gold,1 - bert_precision_gold,bert_precision_gold,1 - bert_recall_gold,bert_recall_gold,1 - emb_sim_gold,emb_sim_gold,1 - rouge1_query,rouge1_query,1 - rouge2_query,rouge2_query,1 - rougeL_query,rougeL_query,1 - bert_f1_query,bert_f1_query,1 - emb_sim_query,emb_sim_query,1 - rouge1_context,rouge1_context,1 - rouge2_context,rouge2_context,1 - rougeL_context,rougeL_context,1 - bert_f1_context,bert_f1_context,1 - emb_sim_context,emb_sim_context,status,error
207,0.4445359338075,ensemble,granite-embedding-107m,,,google/gemma-3-4b-it,0.45999999999999996,5.0,0.665730805092161,0.334269194907839,0.8469417187409919,0.15305828125900814,0.7650982898057671,0.2349017101942329,0.290077269077301,0.709922730922699,0.274161159992218,0.725838840007782,0.300251841545105,0.699748158454895,0.17861323220543923,0.8213867677945608,0.8303120478655679,0.16968795213443216,0.9135431003963738,0.08645689960362621,0.8620777205657247,0.13792227943427526,0.3219332695007324,0.6780667304992676,0.2017751909278922,0.7982248090721078,0.8526351665850336,0.14736483341496642,0.9076517854755388,0.09234821452446118,0.8888739672771608,0.11112603272283918,0.31667935848236084,0.6833206415176392,0.1802676263358266,0.8197323736641734,,
409,0.1997565228492,bm25_only,qwen3-embedding-0.6b,,,qwen/qwen3-8b,0.37,13.0,0.7218120803538444,0.2781879196461557,0.9041857137664602,0.09581428623353981,0.8201449086220033,0.17985509137799668,0.30167412757873535,0.6983258724212646,0.29557299613952637,0.7044270038604736,0.3020375370979309,0.6979624629020691,0.2985145895507152,0.7014854104492848,0.8276880602009589,0.17231193979904114,0.8993127199823039,0.10068728001769614,0.8584195946881178,0.1415804053118822,0.32412153482437134,0.6758784651756287,0.2965515547159068,0.7034484452840932,0.9589127242736449,0.04108727572635511,0.9832399817229193,0.01676001827708074,0.9725691030577645,0.02743089694223559,0.3502984046936035,0.6497015953063965,,,,
360,0.2316434327513,mmr,bert-base-italian-xxl-cased,72,0.4606362544,google/gemma-3-12b-it,0.83,9.0,0.7658720714291811,0.23412792857081888,0.9160878276076295,0.08391217239237043,0.8384804970820439,0.1615195029179562,0.3110191822052002,0.6889808177947998,0.2765349745750427,0.7234650254249573,0.3373880982398987,0.6626119017601013,0.23469456316470427,0.7653054368352957,0.7776408522277393,0.22235914777226073,0.8768310449983245,0.1231689550016755,0.8091427655121365,0.19085723448786354,0.2989286780357361,0.7010713219642639,0.2799064605174366,0.7200935394825634,0.9262446189041516,0.07375538109584844,0.9558922139976899,0.04410778600231016,0.9440005227468836,0.05599947725311637,0.348990261554718,0.651009738445282,0.2132112904461928,0.7867887095538072,,
162,0.3860880468041,base,granite-embedding-278m,,,qwen/qwen3-14b,0.76,18.0,0.8052598596549636,0.1947401403450364,0.9266595113024405,0.07334048869755948,0.8642214792821116,0.1357785207178884,0.33192765712738037,0.6680723428726196,0.28145766258239746,0.7185423374176025,0.36768192052841187,0.6323180794715881,0.2823052924677677,0.7176947075322323,0.8349357363021194,0.16506426369788066,0.9065882812933449,0.0934117187066551,0.8600661414317415,0.13993385856825846,0.323466956615448,0.676533043384552,0.2907429321553805,0.7092570678446195,0.9693913657197557,0.030608634280244316,0.9885622996398298,0.011437700360170206,0.9787874684600472,0.021212531539952787,0.3874477744102478,0.6125522255897522,0.30297855018498576,0.6970214498150142,,
114,0.3248473409563,ensemble,nomic-embed-text-v2-moe,,,qwen/qwen3-14b,0.21999999999999997,15.0,0.6945244277827489,0.3054755722172511,0.8871295964677032,0.11287040353229678,0.7907660562914374,0.20923394370856263,0.2882368564605713,0.7117631435394287,0.284091055393219,0.715908944606781,0.2901773452758789,0.7098226547241211,0.2543276199959542,0.7456723800040458,0.7855373336452918,0.2144626663547082,0.8922072809871243,0.10779271901287565,0.8325778027014253,0.16742219729857466,0.3149604797363281,0.6850395202636719,0.2758679786571787,0.7241320213428213,0.9144193728470614,0.08558062715293854,0.9643107778709983,0.035689222129001726,0.9435554963210392,0.05644450367896078,0.31787240505218506,0.6821275949478149,0.2952713151003621,0.7047286848996379,,
444,0.4314115841076,bm25_only,granite-embedding-278m,,,google/gemma-3-4b-it,0.45999999999999996,7.0,0.6877812353398862,0.31221876466011383,0.8958876004626498,0.10411239953735019,0.7932082641176772,0.2067917358823228,0.29044389724731445,0.7095561027526855,0.286662220954895,0.713337779045105,0.29187124967575073,0.7081287503242493,0.14623802484843929,0.8537619751515607,0.8107872257202592,0.1892127742797408,0.9060404032158336,0.09395959678416639,0.855850500917348,0.1441494990826519,0.31855422258377075,0.6814457774162292,0.15102303695737662,0.8489769630426234,0.9448413026785591,0.05515869732144086,0.9744549477616077,0.025545052238392284,0.9610820630246856,0.03891793697531442,0.33188432455062866,0.6681156754493713,0.2307327953529047,0.7692672046470953,,
394,0.494682446198,bm25_only,qwen3-embedding-4b,,,google/gemma-3-4b-it,0.41000000000000003,7.0,0.7025656427495421,0.2974343572504579,0.8844431544873466,0.11555684551265344,0.7986611247999027,0.2013388752000973,0.2996752858161926,0.7003247141838074,0.28536075353622437,0.7146392464637756,0.3084876537322998,0.6915123462677002,0.31143021862498677,0.6885697813750132,0.8293170404489006,0.17068295955109938,0.9213319531794041,0.07866804682059593,0.8716636024041814,0.12833639759581864,0.3240281939506531,0.6759718060493469,0.3374954252571747,0.6625045747428253,0.932244032132592,0.06775596786740805,0.9624294854714531,0.03757051452854683,0.9494182438804557,0.05058175611954434,0.347952663898468,0.652047336101532,,,,
409,0.4317741938132,bm25_only,granite-embedding-107m,,,google/gemma-3-4b-it,0.52,4.0,0.7241624072778995,0.2758375927221005,0.889454349941782,0.11054565005821801,0.8113226373235514,0.18867736267644866,0.30866897106170654,0.6913310289382935,0.2857281565666199,0.7142718434333801,0.32393544912338257,0.6760645508766174,0.20391718344097076,0.7960828165590292,0.8448061792891044,0.15519382071089566,0.923642150330055,0.07635784966994497,0.8785891088373275,0.12141089116267242,0.32639431953430176,0.6736056804656982,0.23256889881826437,0.7674311011817356,0.912715097707566,0.08728490229243406,0.948844565843062,0.05115543415693798,0.934455650047155,0.06554434995284494,0.3486905097961426,0.6513094902038574,0.2430038090296749,0.7569961909703251,,
418,0.4623918399106,bm25_only,qwen3-embedding-0.6b,,,google/gemma-3-4b-it,0.44999999999999996,6.0,0.7002578777794111,0.29974212222058894,0.8841631715514966,0.11583682844850338,0.7960104344755281,0.2039895655244719,0.3008273243904114,0.6991726756095886,0.2822396159172058,0.7177603840827942,0.3132321834564209,0.6867678165435791,0.3374034158617685,0.6625965841382315,0.829379796774846,0.170620203225154,0.9171069955464838,0.08289300445351619,0.8661729020282241,0.1338270979717759,0.32054442167282104,0.679455578327179,0.36569601388654194,0.6343039861134581,0.9280470715548446,0.07195292844515544,0.961349363929885,0.03865063607011497,0.9473258460997468,0.052674153900253255,0.34529799222946167,0.6547020077705383,0.3847618415497137,0.6152381584502863,,
437,0.4457343412978,bm25_only,granite-embedding-107m,,,google/gemma-3-4b-it,0.63,2.0,0.7497947489550479,0.25020525104495206,0.8903475198346861,0.10965248016531397,0.8218653647415359,0.17813463525846412,0.32255953550338745,0.6774404644966125,0.2812685966491699,0.7187314033508301,0.3511354923248291,0.6488645076751709,0.25651435604704953,0.7434856439529505,0.8716475986253334,0.1283524013746666,0.9423436179667535,0.0576563820332465,0.8983944595156573,0.10160554048434271,0.336631715297699,0.663368284702301,0.2949325523927374,0.7050674476072626,0.8795913786632298,0.12040862133677024,0.9228068097569215,0.07719319024307851,0.9051347557985863,0.09486524420141368,0.35618436336517334,0.6438156366348267,0.26605288786590775,0.7339471121340922,,
