chunk_length,overlap_percentage,retriever,embedder,1 - accuracy,number of documents
396,0.3113471258299,ensemble,nomic-embed-text,0.274,8
250,0.4508599586474,base,nomic-embed-text,0.571,2
431,0.4841334263948,ensemble,bert-base-cased,0.43200000000000005,6
130,0.28858678817,ensemble,biobert-base-cased,0.44999999999999996,7
184,0.4068902132054,ensemble,mxbai-embed-large,0.243,15
378,0.2124716939185,base,mxbai-embed-large,0.544,5
346,0.107491697329,base,nomic-embed-text,0.667,1
358,0.2138496495227,ensemble,bert-base-italian-xxl-cased,0.33899999999999997,10
295,0.1444163490832,ensemble,biobert-base-cased,0.498,4
362,0.1255750673912,ensemble,biobert-base-cased,0.525,3
469,0.3203524767119,base,nomic-embed-text,0.44699999999999995,8
312,0.3675278839838,base,bert-base-italian-xxl-cased,0.641,18
296,0.4429543864469,ensemble,bert-base-italian-xxl-cased,0.385,7
388,0.417397299991,ensemble,nomic-embed-text,0.249,12
407,0.2169693240158,ensemble,nomic-embed-text,0.353,4
128,0.4425724146639,base,nomic-embed-text,0.665,1
146,0.4315535342494,ensemble,biobert-base-cased,0.42300000000000004,9
344,0.2097783705251,base,bert-base-italian-xxl-cased,0.615,20
235,0.1902324174445,ensemble,bert-base-cased,0.4,10
461,0.2042433364358,base,nomic-embed-text,0.492,5
238,0.1248153855833,base,biobert-base-cased,0.896,8
187,0.3409583847378,ensemble,bert-base-cased,0.43600000000000005,7
394,0.44158975443,base,biobert-base-cased,0.937,8
185,0.3495007025471,ensemble,mxbai-embed-large,0.28400000000000003,10
314,0.3527498343111,ensemble,bert-base-cased,0.36,11
260,0.4359992962144,base,nomic-embed-text,0.43500000000000005,8
139,0.1449986903597,base,mxbai-embed-large,0.526,8
369,0.4563899372355,ensemble,mxbai-embed-large,0.525,1
115,0.1890300369305,ensemble,nomic-embed-text,0.353,6
326,0.1117727466654,base,mxbai-embed-large,0.495,9
295,0.2241425315523,ensemble,nomic-embed-text,0.21199999999999997,17
368,0.166778235243,base,bert-base-cased,0.908,17
110,0.3653432041835,base,nomic-embed-text,0.6759999999999999,1
270,0.1465639567142,ensemble,biobert-base-cased,0.41600000000000004,7
331,0.4752209057263,base,biobert-base-cased,0.969,1
121,0.1863982428067,base,bert-base-italian-xxl-cased,0.783,4
371,0.3980827816606,ensemble,bert-base-italian-xxl-cased,0.33099999999999996,11
108,0.279658815876,base,bert-base-cased,0.88,6
378,0.3180694475205,ensemble,mxbai-embed-large,0.379,4
174,0.1523693988957,base,biobert-base-cased,0.916,4
271,0.2138496495227,ensemble,bert-base-italian-xxl-cased,0.362,9
285,0.105777660348,ensemble,bert-base-italian-xxl-cased,0.33199999999999996,12
360,0.4549126594857,ensemble,bert-base-italian-xxl-cased,0.28900000000000003,16
300,0.1787210147864,ensemble,bert-base-italian-xxl-cased,0.373,8
181,0.1760084586261,ensemble,biobert-base-cased,0.40800000000000003,9
155,0.3981319070863,base,nomic-embed-text,0.42000000000000004,10
100,0.3235346163997,ensemble,mxbai-embed-large,0.33799999999999997,8
269,0.3501930244969,ensemble,mxbai-embed-large,0.29500000000000004,8
408,0.3879685789988,ensemble,bert-base-italian-xxl-cased,0.378,7
105,0.4370900383187,ensemble,nomic-embed-text,0.33799999999999997,7
231,0.249099627784,ensemble,mxbai-embed-large,0.405,3
280,0.2566419798956,ensemble,mxbai-embed-large,0.43999999999999995,2
101,0.1934714268191,base,biobert-base-cased,0.9,4
405,0.1361863401637,ensemble,bert-base-italian-xxl-cased,0.48,3
395,0.4912792403481,base,mxbai-embed-large,0.43899999999999995,16
138,0.4605421885429,ensemble,bert-base-italian-xxl-cased,0.349,12
174,0.4945323572745,ensemble,mxbai-embed-large,0.254,14
278,0.2288253179478,base,biobert-base-cased,0.905,8
353,0.2947083119202,ensemble,mxbai-embed-large,0.396,3
158,0.1690954785467,ensemble,bert-base-italian-xxl-cased,0.42100000000000004,7
103,0.4628374650021,ensemble,biobert-base-cased,0.47,7
